checkpoint_id,path,family,version,role,status,canonical,topology,seed,snapshot,architecture,protocol_id,size_bytes,sha256,notes
CKPT-021,checkpoints/agent_c_delayaware_snap24_best.pt,PPO-C,PPO-C/SNAP24-delay-aware/v1,C-side split/server policy,historical-candidate,no,snap24_gnutella_reach,42,best,"actor-critic input=17, hidden=(128, 64)",,50089,ca36fd6bbd0c4e7be003cc5a1a2448ffbd80126702a00ec91b2774f799734b6c,Legacy SNAP24 delay-aware C-policy study.
CKPT-022,checkpoints/agent_c_delayaware_snap24_last.pt,PPO-C,PPO-C/SNAP24-delay-aware/v1,C-side split/server policy,historical-candidate,no,snap24_gnutella_reach,42,last,"actor-critic input=17, hidden=(128, 64)",,66025,b746a46da90159794fbbc84479d8be54042a5634688f9f17bff1b2e2e387bf22,Legacy SNAP24 delay-aware C-policy study.
CKPT-023,checkpoints/agent_c_delayaware_v2_snap24_best.pt,PPO-C,PPO-C/SNAP24-delay-aware/v2,C-side split/server policy,historical-candidate,no,snap24_gnutella_reach,42,best,"actor-critic input=17, hidden=(128, 64)",,50189,707b504e9b3dda7167f8769fb637042040489bbcd1918eba13e1bdce7f27ad22,Legacy SNAP24 delay-aware C-policy study.
CKPT-024,checkpoints/agent_c_delayaware_v2_snap24_last.pt,PPO-C,PPO-C/SNAP24-delay-aware/v2,C-side split/server policy,historical-candidate,no,snap24_gnutella_reach,42,last,"actor-critic input=17, hidden=(128, 64)",,66061,ef84d69a5cf50723ab6429c390dba7dcdc8c47d0ae7098f487260f3f8a304157,Legacy SNAP24 delay-aware C-policy study.
CKPT-025,checkpoints/agent_c_frozen_r_snap24_reach_best.pt,PPO-C,PPO-C/SNAP24-frozen-R-reach/v1,C-side split/server policy,historical-candidate,no,snap24_gnutella_reach,42,best,"actor-critic input=17, hidden=(128, 64)",,92761,7b4f3429c1479f2a1c6567bc0e1ed7d59ed103a3888b2d5bb8cddb0034c3d338,Legacy SNAP24 training with a frozen R-side policy.
CKPT-026,checkpoints/agent_c_frozen_r_snap24_reach_last.pt,PPO-C,PPO-C/SNAP24-frozen-R-reach/v1,C-side split/server policy,historical-candidate,no,snap24_gnutella_reach,42,last,"actor-critic input=17, hidden=(128, 64)",,92761,808b53768b6a115b7d310a7a7f0223e18464b40c09bf56c611363fa1d5f2a4dd,Legacy SNAP24 training with a frozen R-side policy.
CKPT-027,checkpoints/agent_c_overload_aware_smoke_best.pt,PPO-C,PPO-C/COST239-overload-aware/smoke-v1,C-side smoke checkpoint,smoke-only,no,xlron_cost239_ptrnet_real,42,best,"actor-critic input=26, hidden=(128, 64)",,242515,3aeb950630b09966e6e53caec01f7149472811fb60abc4d647c7fe746a76ad8a,"Smoke configuration (24 slots, K=3, five blocks); never a formal model."
CKPT-028,checkpoints/agent_c_overload_aware_smoke_last.pt,PPO-C,PPO-C/COST239-overload-aware/smoke-v1,C-side smoke checkpoint,smoke-only,no,xlron_cost239_ptrnet_real,42,last,"actor-critic input=26, hidden=(128, 64)",,242515,d7e8af362a663f1a9ab36bef16004e16580135a9cae2a0fd1c3b662f63a325dc,"Smoke configuration (24 slots, K=3, five blocks); never a formal model."
CKPT-029,checkpoints/agent_r_mixed.pt,PPO-R proposer,PPO-R/independent-mixed/v1,Frozen legal-action proposer for Strict v1.3,active-core,yes,,42,single,"R-policy input=11, hidden=(128, 64)",,228331,e32e908196ac0c39898aab6e98516842c53f817150eeaba97e4ac172a61f8b94,Canonical Strict v1.3 proposer checkpoint; Strict v1.3 still requires the canonical Ranker checkpoint below.
CKPT-030,checkpoints/agent_r_multitopo.pt,PPO-R proposer,PPO-R/multitopology/v1,Historical multi-topology R policy,historical-candidate,no,"net1,net2,net3",42,single,"R-policy input=11, hidden=(128, 64)",,160819,54a0da3d1dec18b597841a66f206907c721c05fdc6465e6ca32d7ae1e8f67100,Not the Strict v1.3 proposer.
CKPT-031,checkpoints/deep_rmsa_c_sensitive_mixed.pt,DeepRMSA,DeepRMSA/SA-HMARL-C-sensitive-mixed/v1,DeepRMSA baseline,preserved-deeprmsa,no,,42,single,"actor-critic state=63, actions=3, K=3, M=1",,1873467,7d627acb56abe1678b3e1667a9d7f0e21f37d30c5984850930652f97b1d15973,"Legacy C-sensitive DeepRMSA baseline (K=3, M=1, 24 slots)."
CKPT-032,checkpoints/deep_rmsa_snap24_k5m10_ai015_h4_10_s5_30.pt,DeepRMSA,DeepRMSA/SNAP24-K5-M10-S24/v1,DeepRMSA baseline,preserved-deeprmsa,no,,42,single,"actor-critic state=163, actions=50, K=5, M=10",,2216873,db4ce172c6b70dcde089347cb302688dc1aecbe3b433f798197cf38734314587,"Legacy SNAP24 K=5, M=10 checkpoint."
CKPT-033,checkpoints/deep_rmsa_snap24_reach_mixed.pt,DeepRMSA,DeepRMSA/SNAP24-reach-mixed/v1,DeepRMSA baseline,preserved-deeprmsa,no,,42,single,"actor-critic state=63, actions=3, K=3, M=1",,1873569,4a9eb65e9a3c6a414c9cd3a6beaa339287d8ced8b87f169bf53064c78652a838,"Legacy reach-aware DeepRMSA baseline (K=3, M=1, 24 slots)."
CKPT-034,checkpoints/deep_rmsa_snap24_s100_k5m10_ai015_h4_10_s5_30.pt,DeepRMSA,DeepRMSA/SNAP24-K5-M10-S100/v1,DeepRMSA baseline,preserved-deeprmsa,no,,42,single,"actor-critic state=163, actions=50, K=5, M=10",,2217383,ed6c2a12ee2e337c4b69738f03a65c14ef58bfc01476cc82b2d8aa3231f169bc,"SNAP24 K=5, M=10, 100-slot baseline."
CKPT-035,checkpoints/deep_rmsa_snap24_s80_k5m10_ai015_h4_10_s5_30.pt,DeepRMSA,DeepRMSA/SNAP24-K5-M10-S80/v1,DeepRMSA baseline,preserved-deeprmsa,no,,42,single,"actor-critic state=163, actions=50, K=5, M=10",,2217281,a627f0ba2fb1246a4b76b16460517e6d8573d90d5227c6231f005351c69244f1,"SNAP24 K=5, M=10, 80-slot baseline."
CKPT-036,checkpoints/ppo_r_deeprmsa_bc_snap24_best.pt,PPO-R transfer,BC-PPO-R/DeepRMSA-SNAP24/v1,DeepRMSA behavior-cloning warm start,preserved-deeprmsa,no,,,best,"R-policy input=11, hidden=(128, 64)",,42973,7876dcc7f1a5b58158a66cf46bdefdedd43f02adbae4f766689e6891f58bef48,Teacher-transfer baseline; not the independent PPO-R used by Strict v1.3.
CKPT-037,checkpoints/ppo_r_deeprmsa_bc_snap24_last.pt,PPO-R transfer,BC-PPO-R/DeepRMSA-SNAP24/v1,DeepRMSA behavior-cloning warm start,preserved-deeprmsa,no,,,last,"R-policy input=11, hidden=(128, 64)",,42973,93215264541aba585ea7ee6a3770e47c27bc5bda600613881ecfa0aa08824e84,Teacher-transfer baseline; not the independent PPO-R used by Strict v1.3.
CKPT-038,checkpoints/r_counterfactual_ranking_cost239_kpath50_hops_kprop30_h5_medium_training/1k3_seed42/ranking_model.pt,Counterfactual R Ranker,v1.3-development/medium-1k3/top1-selected,25-D PPO-R Top-30 counterfactual Ranker,historical-development,no,,42,metric-selected,MLP 25-128-64-1,,51741,dfa6d9a524aeec31f66ae7d5dda78f72aa3b5bbad82678c4744d9c71eaa49c20,"Checkpoint selection used validation Top-1, so this is not the canonical Strict v1.3 definition."
CKPT-039,checkpoints/r_counterfactual_ranking_cost239_kpath50_hops_kprop30_h5_medium_training/1k3_seed43/ranking_model.pt,Counterfactual R Ranker,v1.3-development/medium-1k3/top1-selected,25-D PPO-R Top-30 counterfactual Ranker,historical-development,no,,43,metric-selected,MLP 25-128-64-1,,51741,ac3ffb9f57abe2487149f44d3acc4d8a9e39bbeb90862012268c011acc31b05f,"Checkpoint selection used validation Top-1, so this is not the canonical Strict v1.3 definition."
CKPT-040,checkpoints/r_counterfactual_ranking_cost239_kpath50_hops_kprop30_h5_medium_training/1k3_seed44/ranking_model.pt,Counterfactual R Ranker,v1.3-development/medium-1k3/top1-selected,25-D PPO-R Top-30 counterfactual Ranker,historical-development,no,,44,metric-selected,MLP 25-128-64-1,,51741,3799b4a8826505d9be83952b05f9e9c38b5769054492d5f169e2c82163fd52ed,"Checkpoint selection used validation Top-1, so this is not the canonical Strict v1.3 definition."
CKPT-041,checkpoints/r_counterfactual_ranking_cost239_kpath50_hops_kprop30_h5_medium_training/3k_seed42/ranking_model.pt,Counterfactual R Ranker,v1.3-development/medium-3k/top1-selected,25-D PPO-R Top-30 counterfactual Ranker,historical-development,no,,42,metric-selected,MLP 25-128-64-1,,51741,ac08004269ed1b42ef6d45f9021a43bf04b36439f63e1937516f1a3be077938d,"Checkpoint selection used validation Top-1, so this is not the canonical Strict v1.3 definition."
CKPT-042,checkpoints/r_counterfactual_ranking_cost239_kpath50_hops_kprop30_h5_medium_training/3k_seed43/ranking_model.pt,Counterfactual R Ranker,v1.3-development/medium-3k/top1-selected,25-D PPO-R Top-30 counterfactual Ranker,historical-development,no,,43,metric-selected,MLP 25-128-64-1,,51741,491903d80b977859aa7bfb8fdff34133d3f7307d10b50098292bb11136e204d0,"Checkpoint selection used validation Top-1, so this is not the canonical Strict v1.3 definition."
CKPT-043,checkpoints/r_counterfactual_ranking_cost239_kpath50_hops_kprop30_h5_medium_training/3k_seed44/ranking_model.pt,Counterfactual R Ranker,v1.3-development/medium-3k/top1-selected,25-D PPO-R Top-30 counterfactual Ranker,historical-development,no,,44,metric-selected,MLP 25-128-64-1,,51741,5bfb8dabc9995604b50a443c3e27da0ce8586ddac657904365f7456d5d113e8a,"Checkpoint selection used validation Top-1, so this is not the canonical Strict v1.3 definition."
CKPT-044,checkpoints/r_counterfactual_ranking_cost239_kpath50_hops_kprop30_h5_medium_training/5k_seed42/ranking_model.pt,Counterfactual R Ranker,v1.3-development/medium-5k/top1-selected,25-D PPO-R Top-30 counterfactual Ranker,historical-development,no,,42,metric-selected,MLP 25-128-64-1,,51741,a3e7ea7b22345f7f4d5ff2830a147650b7ad67fda09cf97ffa97333d2e8fccec,"Checkpoint selection used validation Top-1, so this is not the canonical Strict v1.3 definition."
CKPT-045,checkpoints/r_counterfactual_ranking_cost239_kpath50_hops_kprop30_h5_medium_training/5k_seed43/ranking_model.pt,Counterfactual R Ranker,v1.3-development/medium-5k/top1-selected,25-D PPO-R Top-30 counterfactual Ranker,historical-development,no,,43,metric-selected,MLP 25-128-64-1,,51741,104f298c26bdd947f4d9de76d7e51cabe4f4027c6f7aaa71095b627ae9e521d1,"Checkpoint selection used validation Top-1, so this is not the canonical Strict v1.3 definition."
CKPT-046,checkpoints/r_counterfactual_ranking_cost239_kpath50_hops_kprop30_h5_medium_training/5k_seed44/ranking_model.pt,Counterfactual R Ranker,v1.3-development/medium-5k/top1-selected,25-D PPO-R Top-30 counterfactual Ranker,historical-development,no,,44,metric-selected,MLP 25-128-64-1,,51741,5173b06b7865ba65882595cfc8dceb6786ba9dac2268113ff14a3844e57aabf3,"Checkpoint selection used validation Top-1, so this is not the canonical Strict v1.3 definition."
CKPT-047,checkpoints/r_counterfactual_ranking_cost239_kpath50_hops_kprop30_h5_medium_training/full_seed42/ranking_model.pt,Counterfactual R Ranker,v1.3-development/medium-full/top1-selected,25-D PPO-R Top-30 counterfactual Ranker,historical-development,no,,42,metric-selected,MLP 25-128-64-1,,51741,c0ef8c5a61cd8e0bf190294d36dfb60085a15f18e8ac0fb6205ac9200ace1998,"Checkpoint selection used validation Top-1, so this is not the canonical Strict v1.3 definition."
CKPT-048,checkpoints/r_counterfactual_ranking_cost239_kpath50_hops_kprop30_h5_medium_training/full_seed43/ranking_model.pt,Counterfactual R Ranker,v1.3-development/medium-full/top1-selected,25-D PPO-R Top-30 counterfactual Ranker,historical-development,no,,43,metric-selected,MLP 25-128-64-1,,51741,3099c52c5991b89e529bbf43a75df27417ebf025e6ffed259b64dceedf1791a0,"Checkpoint selection used validation Top-1, so this is not the canonical Strict v1.3 definition."
CKPT-049,checkpoints/r_counterfactual_ranking_cost239_kpath50_hops_kprop30_h5_medium_training/full_seed44/ranking_model.pt,Counterfactual R Ranker,v1.3-development/medium-full/top1-selected,25-D PPO-R Top-30 counterfactual Ranker,historical-development,no,,44,metric-selected,MLP 25-128-64-1,,51741,597a9548a00d95ed4044bd5c7b4420593a4c1dd90f3665fb7858a168e62c64ec,"Checkpoint selection used validation Top-1, so this is not the canonical Strict v1.3 definition."
CKPT-050,checkpoints/v13_kpath50_hops_medium_regret_selected/seed_123/ranking_model.pt,Counterfactual R Ranker,v1.3-development/medium-full/regret-selected,25-D PPO-R Top-30 counterfactual Ranker,historical-development,no,,123,metric-selected,MLP 25-128-64-1,,52893,90ef5a98d42435b4bf86273fd930cb34b26b9f81d465ae4954bd98ea635456fe,Regret-selected medium-dataset precursor; superseded by the full-state Strict-loss rerun.
CKPT-051,checkpoints/v13_kpath50_hops_medium_regret_selected/seed_42/ranking_model.pt,Counterfactual R Ranker,v1.3-development/medium-full/regret-selected,25-D PPO-R Top-30 counterfactual Ranker,historical-development,no,,42,metric-selected,MLP 25-128-64-1,,52893,f62852c8ee2f1bb0ce59c3a66dfd6ffbd9183ebdfdac8e45c7b4241bb28543fb,Regret-selected medium-dataset precursor; superseded by the full-state Strict-loss rerun.
CKPT-052,checkpoints/v13_kpath50_hops_medium_regret_selected/seed_456/ranking_model.pt,Counterfactual R Ranker,v1.3-development/medium-full/regret-selected,25-D PPO-R Top-30 counterfactual Ranker,historical-development,no,,456,metric-selected,MLP 25-128-64-1,,52893,d6ef4f5ec9d8fb317fe8cb6be8aa16d4a2ce45b5c4830f60ddbed20bbdf86f9e,Regret-selected medium-dataset precursor; superseded by the full-state Strict-loss rerun.
CKPT-053,experiments/deeprmsa_adapted_paper_primary_k50/checkpoints/m1/seed_42/best.pt,DeepRMSA,DeepRMSA/adapted-paper-primary-K50-M1/v1,Masked A2C DeepRMSA-style adapter,preserved-deeprmsa,no,xlron_cost239_ptrnet_real,42,best,"actor-critic state=272, actions=50, K=50, M=1",DEEPRMSA_ADAPTED_TO_PAPER_PRIMARY_K50,2527825,d5a1320bad0334a216d5de464aa4422ead86ae9f32d653a3c450b6aa2b0f87f6,"COST239, K=50 hops adapter; this is not upstream source-semantic DeepRMSA."
CKPT-054,experiments/deeprmsa_adapted_paper_primary_k50/checkpoints/m10/seed_42/best.pt,DeepRMSA,DeepRMSA/adapted-paper-primary-K50-M10/v1,Masked A2C DeepRMSA-style adapter,preserved-deeprmsa,no,xlron_cost239_ptrnet_real,42,best,"actor-critic state=1172, actions=500, K=50, M=10",DEEPRMSA_ADAPTED_TO_PAPER_PRIMARY_K50,5989201,fd5ccd25b0d667bae4b0ea572709bacafd72636d8c8af447645ac2609b67d35f,"COST239, K=50 hops adapter; this is not upstream source-semantic DeepRMSA."
CKPT-055,experiments/deeprmsa_source_semantic_paper_primary_k50/checkpoints/seed_123/best.pt,DeepRMSA,DeepRMSA/source-semantic-paper-primary-K50/v1,Unmasked source-semantic DeepRMSA port,preserved-deeprmsa,no,xlron_cost239_ptrnet_real,123,best,"actor-critic state=272, actions=50, K=50, M=1",DEEPRMSA_SOURCE_SEMANTIC_PAPER_PRIMARY_K50,2527889,a7a002e3c6779baeb24a4d563052f5687ae084c361e0fed78d1616063081fd6c,Formal source-semantic K=50 training replica.
CKPT-056,experiments/deeprmsa_source_semantic_paper_primary_k50/checkpoints/seed_42/best.pt,DeepRMSA,DeepRMSA/source-semantic-paper-primary-K50/v1,Unmasked source-semantic DeepRMSA port,preserved-deeprmsa,no,xlron_cost239_ptrnet_real,42,best,"actor-critic state=272, actions=50, K=50, M=1",DEEPRMSA_SOURCE_SEMANTIC_PAPER_PRIMARY_K50,2527889,8dd03eb5742806b8305dfb88586532842a26fdd4cbd5fa624a17e57cb99ea883,Formal source-semantic K=50 training replica.
CKPT-057,experiments/deeprmsa_source_semantic_paper_primary_k50/checkpoints/seed_456/best.pt,DeepRMSA,DeepRMSA/source-semantic-paper-primary-K50/v1,Unmasked source-semantic DeepRMSA port,preserved-deeprmsa,no,xlron_cost239_ptrnet_real,456,best,"actor-critic state=272, actions=50, K=50, M=1",DEEPRMSA_SOURCE_SEMANTIC_PAPER_PRIMARY_K50,2527889,def39ab2ae5de51421e13568a4ddadfdea226fac7e43bef09a36f549f52a5676,Formal source-semantic K=50 training replica.
CKPT-058,experiments/deeprmsa_source_semantic_paper_primary_k50/checkpoints_smoke/seed_99/best.pt,DeepRMSA,DeepRMSA/source-semantic-paper-primary-K50/v1,Unmasked source-semantic DeepRMSA port,smoke-only,no,xlron_cost239_ptrnet_real,99,best,"actor-critic state=272, actions=50, K=50, M=1",DEEPRMSA_SOURCE_SEMANTIC_PAPER_PRIMARY_K50,2527825,6248bd2395b421bb7235cc45a699b04a1a006ad55293e81c736938582d163d9d,Smoke checkpoint.
CKPT-059,experiments/deeprmsa_vs_ksp_ff_paper_parity/checkpoints/cost239/seed_42/best.pt,DeepRMSA,DeepRMSA/paper-parity-v1/COST239-K5-M1,Paper-semantic DeepRMSA baseline,preserved-deeprmsa,no,cost239,42,best,"actor-critic state=47, actions=5, K=5, M=1",DEEPRMSA_VS_KSP_FF_PAPER_PARITY_V1,1765841,ee1efa2910e4e1437ceb050d8d3eee995114fa98c830de115c24be667d3ae8a0,Protocol DEEPRMSA_VS_KSP_FF_PAPER_PARITY_V1; best is validation-selected and final is the terminal snapshot.
CKPT-060,experiments/deeprmsa_vs_ksp_ff_paper_parity/checkpoints/cost239/seed_42/final.pt,DeepRMSA,DeepRMSA/paper-parity-v1/COST239-K5-M1,Paper-semantic DeepRMSA baseline,preserved-deeprmsa,no,cost239,42,final,"actor-critic state=47, actions=5, K=5, M=1",DEEPRMSA_VS_KSP_FF_PAPER_PARITY_V1,1765879,8a53c4a94af2ecf6d69327aa2f384b0a32df3e7ef905dd21445f32ee620f3917,Protocol DEEPRMSA_VS_KSP_FF_PAPER_PARITY_V1; best is validation-selected and final is the terminal snapshot.
CKPT-061,experiments/deeprmsa_vs_ksp_ff_paper_parity/checkpoints/cost239/seed_43/best.pt,DeepRMSA,DeepRMSA/paper-parity-v1/COST239-K5-M1,Paper-semantic DeepRMSA baseline,preserved-deeprmsa,no,cost239,43,best,"actor-critic state=47, actions=5, K=5, M=1",DEEPRMSA_VS_KSP_FF_PAPER_PARITY_V1,1765841,03157c5728d87200f4613e77000711e21656f8975da2b3f711b49bdc9fa649cd,Protocol DEEPRMSA_VS_KSP_FF_PAPER_PARITY_V1; best is validation-selected and final is the terminal snapshot.
CKPT-062,experiments/deeprmsa_vs_ksp_ff_paper_parity/checkpoints/cost239/seed_43/final.pt,DeepRMSA,DeepRMSA/paper-parity-v1/COST239-K5-M1,Paper-semantic DeepRMSA baseline,preserved-deeprmsa,no,cost239,43,final,"actor-critic state=47, actions=5, K=5, M=1",DEEPRMSA_VS_KSP_FF_PAPER_PARITY_V1,1765879,5a89dafcec29a533d96487dc1ecd46e1de56e78e604618f8eef522e1c0250995,Protocol DEEPRMSA_VS_KSP_FF_PAPER_PARITY_V1; best is validation-selected and final is the terminal snapshot.
