source_path,classification,target_path,reason,direct_importers,dependencies,size_bytes,sha256,license_status,migration_risk
sa_hmarl/pure_rmsa_v13/neural_opportunity/n1_100/selector.py,KEEP_CORE,pure_rmsa_v13/neural_opportunity/n1_100/selector.py,N1-100 plain selector (object-dtype 100-bit ints),pure_rmsa_v13/neural_opportunity/n1_100/dataset.py;pure_rmsa_v13/neural_opportunity/n1_100/fused_selector.py,pure_rmsa_v13/neural_opportunity/n1_100/features.py;pure_rmsa_v13/neural_opportunity/n1_100/model.py;pure_rmsa_v13/neural_opportunity/n1_100/protocol.py,6127,5a9d59f7673705d7cfbf747f6444b1f04a7568509228a1680709ddf87951191e,project-original; repo has no LICENSE file (LICENSE must be added before first public push),private-field coupling
sa_hmarl/pure_rmsa_v13/neural_opportunity/n1_100/fused_selector.py,KEEP_CORE,pure_rmsa_v13/neural_opportunity/n1_100/fused_selector.py,N1-100 FUSE0 fused deployment selector,,pure_rmsa_v13/neural_opportunity/n1_100/protocol.py;pure_rmsa_v13/neural_opportunity/n1_100/selector.py,5018,2e581de72d85acad6f3b3df6e8636cc386fb9a07abfa1f48e0992fe175aa911c,project-original; repo has no LICENSE file (LICENSE must be added before first public push),private-field coupling
sa_hmarl/pure_rmsa_v13/neural_opportunity/n1_100/dataset.py,KEEP_CORE,pure_rmsa_v13/neural_opportunity/n1_100/dataset.py,100-slot teacher dataset collection,,pure_rmsa_v13/neural_opportunity/n1_100/model.py;pure_rmsa_v13/neural_opportunity/n1_100/protocol.py;pure_rmsa_v13/neural_opportunity/n1_100/selector.py,6455,2c352ee663a6c5d094b1cabc9e9905b13612e5696b25e4bca140c7fdd7680d7d,project-original; repo has no LICENSE file (LICENSE must be added before first public push),private-field coupling
sa_hmarl/pure_rmsa_v13/neural_opportunity/n1_100/training.py,KEEP_CORE,pure_rmsa_v13/neural_opportunity/n1_100/training.py,100-slot training + export,,pure_rmsa_v13/neural_opportunity/n1_100/model.py;pure_rmsa_v13/neural_opportunity/n1_100/protocol.py,8337,0d95bd7f11b82c902a50e06a168340c7fcbf4e95e8738bdbe478f1023eb3f870,project-original; repo has no LICENSE file (LICENSE must be added before first public push),low
sa_hmarl/pure_rmsa_v13/neural_opportunity/n1_100/topologies.py,KEEP_CORE,pure_rmsa_v13/neural_opportunity/n1_100/topologies.py,Abilene edges (from XLRON JSON) + registry side effect; switch to explicit registration at Commit 4,pure_rmsa_v13/neural_opportunity/n1_100/protocol.py,,1174,91fa6865cc646f1ef0eba6f94e177041a82bdd7d5b04f146bd233c61b2f2f43c,contains XLRON(MIT)-derived data/clean-room reimpl; NOTICE+THIRD_PARTY.md required,low
sa_hmarl/pure_rmsa_v13/neural_opportunity/n1_fuse0/__init__.py,KEEP_CORE,pure_rmsa_v13/neural_opportunity/n1_fuse0/__init__.py,empty init,,,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,project-original; repo has no LICENSE file (LICENSE must be added before first public push),low
sa_hmarl/pure_rmsa_v13/neural_opportunity/n1_fuse0/selector.py,KEEP_CORE,pure_rmsa_v13/neural_opportunity/n1_fuse0/selector.py,FUSE0 action-equivalent fused selector (50-slot),pure_rmsa_v13/neural_opportunity/n1_fuse0/run_fuse0_bench.py,pure_rmsa_v13/neural_opportunity/protocol.py;pure_rmsa_v13/neural_opportunity/selector.py,5730,2ce632b22a9885fa1f70d62be0ec5e8e725d9044b3ef4497634d111ccb802ad3,project-original; repo has no LICENSE file (LICENSE must be added before first public push),low
sa_hmarl/pds_rmsa/protocol.py,KEEP_ENV,pds_rmsa/protocol.py,minimal RMSA environment core,,,1351,9c23a8c36e7e3d167455415ffc60e0dcd396e9ed1b39faf4392441a57a7f589a,project-original; repo has no LICENSE file (LICENSE must be added before first public push),low
sa_hmarl/pds_rmsa/env/__init__.py,KEEP_ENV,pds_rmsa/env/__init__.py,minimal RMSA environment core,,,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,project-original; repo has no LICENSE file (LICENSE must be added before first public push),low
sa_hmarl/pds_rmsa/env/rmsa_env.py,KEEP_ENV,pds_rmsa/env/rmsa_env.py,minimal RMSA environment core,,,11735,6098369b44b8bdc10228d56156a00f8b3495a19b44e5c088661458f652e13698,project-original; repo has no LICENSE file (LICENSE must be added before first public push),low
sa_hmarl/pds_rmsa/env/spectrum.py,KEEP_ENV,pds_rmsa/env/spectrum.py,minimal RMSA environment core,,,4607,034b8c08259d6a2fd93d47ea523dfd744b2a67a91c5e81e5497a39de3aafe0d3,project-original; repo has no LICENSE file (LICENSE must be added before first public push),low
sa_hmarl/pds_rmsa/env/topology.py,KEEP_ENV,pds_rmsa/env/topology.py,minimal RMSA environment core,,,5341,325fb549e3f08c3e7d6f05a6e5a672d3c2da66367745beeaf79206f2ae894ef6,project-original; repo has no LICENSE file (LICENSE must be added before first public push),low
sa_hmarl/pds_rmsa/env/traffic_trace.py,KEEP_ENV,pds_rmsa/env/traffic_trace.py,minimal RMSA environment core,,,5978,7e04b0d81e45d294682b26a1cb164c805d067f03368256afa4af274ec03c3d47,project-original; repo has no LICENSE file (LICENSE must be added before first public push),low
sa_hmarl/pds_rmsa/env/reservations.py,KEEP_ENV,pds_rmsa/env/reservations.py,minimal RMSA environment core,,,2090,cb637e8484857758c0b029345f633303baf80e096ee9a77a9e14967b2e4b18ab,project-original; repo has no LICENSE file (LICENSE must be added before first public push),low
sa_hmarl/network/ksp.py,KEEP_ENV,network/ksp.py,Yen KSP (km ordering branch),,,3828,6730f1134b5bd07cedb03b092a93182504d45cef3b0193429c2b4c93a5387165,project-original; repo has no LICENSE file (LICENSE must be added before first public push),low
sa_hmarl/network/topology_data.py,KEEP_ENV,network/topology_data.py,hardcoded topology edge tables incl. XLRON-derived NSFNET/COST239/JPN48; MUST fail closed (raise + hash check) when sidecar JSON missing,,,17520,bc120c7a015b116cf2debb859ff05ec637e1bc3d6790da733b1c170cd34d6b33,contains XLRON(MIT)-derived data/clean-room reimpl; NOTICE+THIRD_PARTY.md required,currently silently empties USNET on missing JSON - fix before publish
sa_hmarl/pure_rmsa_v13/__init__.py,KEEP_ENV,pure_rmsa_v13/__init__.py,docstring only,,,80,2b60cda0b52d507f6a11404c58cdb85c5c7e6a6136af8e98455dc44654053652,project-original; repo has no LICENSE file (LICENSE must be added before first public push),low
sa_hmarl/pure_rmsa_v13/core.py,KEEP_ENV,pure_rmsa_v13/core.py,PureAction + execute() physical action executor,,,3767,39d3328e5748998dc50bf5e96725a81a8fe144cb4f7618abacabdd71a61daefb,project-original; repo has no LICENSE file (LICENSE must be added before first public push),low
sa_hmarl/pds_rmsa/baselines/__init__.py,KEEP_BASELINE,pds_rmsa/baselines/__init__.py,package init,,,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,project-original; repo has no LICENSE file (LICENSE must be added before first public push),low
sa_hmarl/pds_rmsa/baselines/ksp_ff.py,KEEP_BASELINE,pds_rmsa/baselines/ksp_ff.py,naive reference KSP-FF,,,585,b0760cd7d6d437c2de4324f9a04ea4d6bcfa90b50099b68705da605a96e148f9,project-original; repo has no LICENSE file (LICENSE must be added before first public push),low
sa_hmarl/pure_rmsa_v13/rollout_lab/compiled_ksp_ff.py,KEEP_BASELINE,pure_rmsa_v13/rollout_lab/compiled_ksp_ff.py,PythonKSPFFSelector: fair bit-parallel early-exit KSP-FF backend,,,8824,cfa6f7b8f0839c86d8f29c5d180f1602d8f70db9313f0846f815c1e23afd4686,project-original; repo has no LICENSE file (LICENSE must be added before first public push),C-kernel path not env-gated; do not ship .so
sa_hmarl/pure_rmsa_v13/fair_comparison_xlron/__init__.py,KEEP_BASELINE,pure_rmsa_v13/fair_comparison_xlron/__init__.py,clean-room XLRON-compatible env/KSP-FF/traffic (full XLRON parity incl. 5-candidate rejection),,,269,1a7f08629ff4c70d857d668b4d6b9ae60089ad24fac94d3ebe4ea7c5a7d4e03f,contains XLRON(MIT)-derived data/clean-room reimpl; NOTICE+THIRD_PARTY.md required,low
sa_hmarl/pure_rmsa_v13/fair_comparison_xlron/env.py,KEEP_BASELINE,pure_rmsa_v13/fair_comparison_xlron/env.py,clean-room XLRON-compatible env/KSP-FF/traffic (full XLRON parity incl. 5-candidate rejection),pure_rmsa_v13/fair_comparison_xlron/ksp_ff.py;pure_rmsa_v13/fair_comparison_xlron/n1_adapter.py;pure_rmsa_v13/fair_comparison_xlron/run_ksp_k5_k50.py;pure_rmsa_v13/fair_comparison_xlron/run_n1_vs_ksp_xlron.py;pure_rmsa_v13/fair_comparison_xlron/run_truncation_compare.py,pure_rmsa_v13/fair_comparison_xlron/traffic.py,6967,b101dbb55a3b1dd8230c868c744a182c251b9a689378464be806a8cbea050026,contains XLRON(MIT)-derived data/clean-room reimpl; NOTICE+THIRD_PARTY.md required,low
sa_hmarl/pure_rmsa_v13/fair_comparison_xlron/ksp_ff.py,KEEP_BASELINE,pure_rmsa_v13/fair_comparison_xlron/ksp_ff.py,clean-room XLRON-compatible env/KSP-FF/traffic (full XLRON parity incl. 5-candidate rejection),pure_rmsa_v13/fair_comparison_xlron/run_ksp_k5_k50.py;pure_rmsa_v13/fair_comparison_xlron/run_n1_vs_ksp_xlron.py;pure_rmsa_v13/fair_comparison_xlron/run_truncation_compare.py,pure_rmsa_v13/fair_comparison_xlron/env.py;pure_rmsa_v13/fair_comparison_xlron/traffic.py,2243,0064e0f25ccaae89178e18f7bc5f984c5e82bc5c7735d3afa11c2856d8c35ade,contains XLRON(MIT)-derived data/clean-room reimpl; NOTICE+THIRD_PARTY.md required,low
sa_hmarl/pure_rmsa_v13/fair_comparison_xlron/traffic.py,KEEP_BASELINE,pure_rmsa_v13/fair_comparison_xlron/traffic.py,clean-room XLRON-compatible env/KSP-FF/traffic (full XLRON parity incl. 5-candidate rejection),pure_rmsa_v13/fair_comparison_xlron/env.py;pure_rmsa_v13/fair_comparison_xlron/ksp_ff.py;pure_rmsa_v13/fair_comparison_xlron/n1_adapter.py;pure_rmsa_v13/fair_comparison_xlron/run_ksp_k5_k50.py;pure_rmsa_v13/fair_comparison_xlron/run_n1_vs_ksp_xlron.py;pure_rmsa_v13/fair_comparison_xlron/run_truncation_compare.py,,3948,95e6334eb5552ca81f31ceea3bf54eef8f2c42afc83a5498a8bbf436cafdad87,contains XLRON(MIT)-derived data/clean-room reimpl; NOTICE+THIRD_PARTY.md required,low
sa_hmarl/pure_rmsa_v13/rollout_lab/demand_shadow_pricing.py,KEEP_TRAINING,pure_rmsa_v13/rollout_lab/demand_shadow_pricing.py,DemandShadowPricer base (shadow pricing),,,19877,85b3f39155e5c3879488dfde02bebdc759d7f1b62d5ec8a82d46e6340bcf45e9,project-original; repo has no LICENSE file (LICENSE must be added before first public push),deep pricer._ private coupling
sa_hmarl/pure_rmsa_v13/rollout_lab/incremental_shadow_pricing.py,KEEP_TRAINING,pure_rmsa_v13/rollout_lab/incremental_shadow_pricing.py,incremental cached shadow pricer,,,18103,4de08a4cecc1a59b96ea154087ac4dee21cf80d7b06b5daef71e207a007ce4f5,project-original; repo has no LICENSE file (LICENSE must be added before first public push),deep pricer._ private coupling
sa_hmarl/pure_rmsa_v13/rollout_lab/path_opportunity_pricing.py,KEEP_TRAINING,pure_rmsa_v13/rollout_lab/path_opportunity_pricing.py,exact path opportunity pricer base (scipy),,,15761,1cceca374003478da15b33b1ad01b4e0d4f27ac9611720baefb175d1c0b96d61,project-original; repo has no LICENSE file (LICENSE must be added before first public push),deep pricer._ private coupling; scipy dep
sa_hmarl/pure_rmsa_v13/rollout_lab/bitparallel_path_opportunity.py,KEEP_TRAINING,pure_rmsa_v13/rollout_lab/bitparallel_path_opportunity.py,bit-parallel opportunity pricing kernel,,,18213,01b92a50dd9a8fa75ac5ae45be5514983c27c6dd6ff6d7e03fadd6cc974baff0,project-original; repo has no LICENSE file (LICENSE must be added before first public push),deep pricer._ private coupling
sa_hmarl/pure_rmsa_v13/rollout_lab/feasible_window_sketch.py,KEEP_TRAINING,pure_rmsa_v13/rollout_lab/feasible_window_sketch.py,feasible-window sketch + Full Direct selector + _legal_starts_from_word,,,21658,26f57ba01b74bded40937c377b7a34b5278d549acde1dcdf5d482c191cb8f37e,project-original; repo has no LICENSE file (LICENSE must be added before first public push),deep pricer._ private coupling
sa_hmarl/pure_rmsa_v13/direct_sketch_exact_optimization/selectors_phaseA.py,KEEP_TRAINING,pure_rmsa_v13/direct_sketch_exact_optimization/selectors_phaseA.py,_DirectStaticRoutes base class + OpportunityOnlyDirectSelector (Opportunity Teacher),,,12561,a5ac6866c98b03684641d2bdb764333df05cccacf5fed728ed84e3fa53fc8964,project-original; repo has no LICENSE file (LICENSE must be added before first public push),private base class of both student selectors
sa_hmarl/pure_rmsa_v13/train_proposer.py,EXTRACT_MINIMAL_HELPER,,"phase-1: copied whole at original path (drags side-effect deps, see TEMP rows); Commit 4: extract make_env() (~25 lines) to pure_rmsa_v13/env_factory.py and drop side-effect chain",,,9227,0af715a22e24cd3dc4ff2f15ac9ac2e1541a2c36fa7ef0f608c38f231ff333ed,project-original; repo has no LICENSE file (LICENSE must be added before first public push),must preserve path_sort_strategy='hops' default
sa_hmarl/pure_rmsa_v13/direct_sketch_exact_optimization/run_phaseA.py,EXTRACT_MINIMAL_HELPER,,"phase-1: copied whole; Commit 4: extract _prewarm_routes/_bootstrap_ci/_wtl (~30 lines), then drop run_phaseA.py and block_heuristics.py",,,35933,d5c7631bff8f8bc8587616f5ba5248aa944d56372038066782916a28f42e39a4,project-original; repo has no LICENSE file (LICENSE must be added before first public push),extraction must keep signatures identical
sa_hmarl/pure_rmsa_v13/neural_opportunity/run_collect.py,KEEP_EXPERIMENT,pure_rmsa_v13/neural_opportunity/run_collect.py,N1 dataset collection entry,,pure_rmsa_v13/neural_opportunity/dataset.py;pure_rmsa_v13/neural_opportunity/protocol.py,1977,9083e55eec5b3eb9eb90e9a2c630da1c2a8f83a0579a5c1dae900a70b46d33d0,project-original; repo has no LICENSE file (LICENSE must be added before first public push),cwd-relative default output; parameterize at Commit 1-2
sa_hmarl/pure_rmsa_v13/neural_opportunity/run_train.py,KEEP_EXPERIMENT,pure_rmsa_v13/neural_opportunity/run_train.py,N1 training entry,,pure_rmsa_v13/neural_opportunity/training.py,1653,5fc686198777af43a232e4bfa30ae9b7c55ac09c45e86b2bd7fd9cd99c61304e,project-original; repo has no LICENSE file (LICENSE must be added before first public push),low
sa_hmarl/pure_rmsa_v13/neural_opportunity/run_closed_loop_smoke.py,KEEP_EXPERIMENT,pure_rmsa_v13/neural_opportunity/run_closed_loop_smoke.py,smoke + shared _run() executor used by confirmatory/pilot,pure_rmsa_v13/neural_opportunity/run_confirmatory.py;pure_rmsa_v13/neural_opportunity/run_frozen_pilot.py,pure_rmsa_v13/neural_opportunity/model.py;pure_rmsa_v13/neural_opportunity/protocol.py;pure_rmsa_v13/neural_opportunity/selector.py,4950,a83dc4b51bcefb5b30179560bf9aa1b2d4bd5cd1274e7da9c33489a8a58f9a7d,project-original; repo has no LICENSE file (LICENSE must be added before first public push),low
sa_hmarl/pure_rmsa_v13/neural_opportunity/run_confirmatory.py,KEEP_EXPERIMENT,pure_rmsa_v13/neural_opportunity/run_confirmatory.py,N1 10-seed confirmatory vs KSP-FF/Teacher/Full Direct; needs Phase-A fact table csv; MERGE run_frozen_pilot INTO this at Commit 4,,pure_rmsa_v13/neural_opportunity/protocol.py;pure_rmsa_v13/neural_opportunity/run_closed_loop_smoke.py,6532,79709a265ad77389f8656d8d5f701008ab45f53e0eb8029c2740a7ccbd54038f,project-original; repo has no LICENSE file (LICENSE must be added before first public push),cross-area fact-table dependency
sa_hmarl/pure_rmsa_v13/neural_opportunity/run_frozen_pilot.py,KEEP_EXPERIMENT,pure_rmsa_v13/neural_opportunity/run_frozen_pilot.py,frozen 5-seed pilot diagnostic; merge candidate (fold as --pilot mode of run_confirmatory),,pure_rmsa_v13/neural_opportunity/protocol.py;pure_rmsa_v13/neural_opportunity/run_closed_loop_smoke.py,4244,028b69ece6620c97e1b30552909bf657e228ff9e10a9708554d64045c5eb0a3c,project-original; repo has no LICENSE file (LICENSE must be added before first public push),superseded by confirmatory; keep until merge
sa_hmarl/pure_rmsa_v13/neural_opportunity/run_latency_ceiling.py,KEEP_EXPERIMENT,pure_rmsa_v13/neural_opportunity/run_latency_ceiling.py,N1 latency gate measurement,,pure_rmsa_v13/neural_opportunity/model.py;pure_rmsa_v13/neural_opportunity/protocol.py;pure_rmsa_v13/neural_opportunity/selector.py,4185,5bbf6f00ac8629a042c31641acb7429dd744171d27cd0edfb4d94e1c2cb9e3b9,project-original; repo has no LICENSE file (LICENSE must be added before first public push),low
sa_hmarl/pure_rmsa_v13/neural_opportunity/n1_100/run_n1_100_xlron.py,KEEP_EXPERIMENT,pure_rmsa_v13/neural_opportunity/n1_100/run_n1_100_xlron.py,"current N1-100 training mainline (XLRON path-ordering pool, trunc=2.0)",,,4487,eeafc7ecb17faf928d340b28c11cc1d9d7e64f1ca86cc2abf13dd7ff6b28443b,project-original; repo has no LICENSE file (LICENSE must be added before first public push),docstring says 'XLRON rejection sampling' but uses hard-resample; fix wording
sa_hmarl/pure_rmsa_v13/neural_opportunity/n1_100/compare_new_topologies.py,KEEP_EXPERIMENT,pure_rmsa_v13/neural_opportunity/n1_100/compare_new_topologies.py,current N1-100 evaluation mainline; PRIMARY results matrix,,,6410,6fa44e36cb7dabc39247bea4279caebf6b50d1431bf898e8f150c60c50e36f61,project-original; repo has no LICENSE file (LICENSE must be added before first public push),must add checkpoint/trace/route-pool hash recording before republication
sa_hmarl/pure_rmsa_v13/neural_opportunity/n1_100/recalibrate_below_1pct.py,KEEP_EXPERIMENT,pure_rmsa_v13/neural_opportunity/n1_100/recalibrate_below_1pct.py,current load calibration mainline (<1%),,,5101,b8f978fca61cfa1190adc15e27a371b5521a5583a0ca62c1ea46c136caff9241,project-original; repo has no LICENSE file (LICENSE must be added before first public push),low
sa_hmarl/pure_rmsa_v13/neural_opportunity/n1_100/build_experiment_matrix.py,KEEP_EXPERIMENT,pure_rmsa_v13/neural_opportunity/n1_100/build_experiment_matrix.py,rebuilds EXPERIMENT_MATRIX.md from artifacts,,,8200,7d7de94ee63fdd1b29bfdb1bb0c2be60e6755754aacd0fedc9bb83384f8e3960,project-original; repo has no LICENSE file (LICENSE must be added before first public push),depends on backup_5_8pct legacy dirs
sa_hmarl/pure_rmsa_v13/neural_opportunity/n1_fuse0/run_fuse0_bench.py,KEEP_EXPERIMENT,pure_rmsa_v13/neural_opportunity/n1_fuse0/run_fuse0_bench.py,FUSE0 action-parity + selector latency benchmark,,pure_rmsa_v13/neural_opportunity/model.py;pure_rmsa_v13/neural_opportunity/n1_fuse0/selector.py;pure_rmsa_v13/neural_opportunity/protocol.py;pure_rmsa_v13/neural_opportunity/selector.py,7120,15231166dc7a15ac49e62a2e5a08aeb5b01bdfe37ee891d9c44e2746428ca785,project-original; repo has no LICENSE file (LICENSE must be added before first public push),asserts native kernel unset
sa_hmarl/pure_rmsa_v13/fair_comparison_xlron/n1_adapter.py,KEEP_EXPERIMENT,pure_rmsa_v13/fair_comparison_xlron/n1_adapter.py,N1-on-XLRON-env adapter (loads deployment npz),pure_rmsa_v13/fair_comparison_xlron/run_n1_vs_ksp_xlron.py,pure_rmsa_v13/fair_comparison_xlron/env.py;pure_rmsa_v13/fair_comparison_xlron/traffic.py,5817,15e96959a6936b62b79b99fe85b52a0154cc41a4030302fe5c6ce6e48493b9df,project-original; repo has no LICENSE file (LICENSE must be added before first public push),defines own _cached_k_paths to satisfy private API
sa_hmarl/pure_rmsa_v13/fair_comparison_xlron/run_ksp_k5_k50.py,KEEP_EXPERIMENT,pure_rmsa_v13/fair_comparison_xlron/run_ksp_k5_k50.py,full-XLRON-parity fair comparison runner,,pure_rmsa_v13/fair_comparison_xlron/env.py;pure_rmsa_v13/fair_comparison_xlron/ksp_ff.py;pure_rmsa_v13/fair_comparison_xlron/traffic.py,2987,6fb629186cc09cca48fe3447cfa82753939c72c58d61c75c5411ec96f646512b,contains XLRON(MIT)-derived data/clean-room reimpl; NOTICE+THIRD_PARTY.md required,low
sa_hmarl/pure_rmsa_v13/fair_comparison_xlron/run_n1_vs_ksp_xlron.py,KEEP_EXPERIMENT,pure_rmsa_v13/fair_comparison_xlron/run_n1_vs_ksp_xlron.py,full-XLRON-parity fair comparison runner,,pure_rmsa_v13/fair_comparison_xlron/env.py;pure_rmsa_v13/fair_comparison_xlron/ksp_ff.py;pure_rmsa_v13/fair_comparison_xlron/n1_adapter.py;pure_rmsa_v13/fair_comparison_xlron/traffic.py,3377,61e9ebea202c226afb706428e144df97286a92a9bb37ec328acc0f1ffbba5028,contains XLRON(MIT)-derived data/clean-room reimpl; NOTICE+THIRD_PARTY.md required,cwd-relative weights path
sa_hmarl/pure_rmsa_v13/fair_comparison_xlron/run_truncation_compare.py,KEEP_EXPERIMENT,pure_rmsa_v13/fair_comparison_xlron/run_truncation_compare.py,full-XLRON-parity fair comparison runner,,pure_rmsa_v13/fair_comparison_xlron/env.py;pure_rmsa_v13/fair_comparison_xlron/ksp_ff.py;pure_rmsa_v13/fair_comparison_xlron/traffic.py,2963,6a66a7294e834d8407f7a6bfa127810d235e87f5d7f178a550a09c9aa155f22e,contains XLRON(MIT)-derived data/clean-room reimpl; NOTICE+THIRD_PARTY.md required,low
